ID,Latitude,Longitude,Altitude,dx,dy
244,41.7375841,-87.7022748,0,2,2
246,41.774736,-87.606204,0,2,2
247,41.8808503,-87.7061056,0,2,2
248,41.9503142,-87.7470834,0,2,2
249,41.845649,-87.6841139,0,2,2
250,41.895228,-87.713077,0,2,2
251,41.9626902,-87.6748284,0,2,2
252,41.901916,-87.762404,0,2,2
254,41.9018592,-87.7067781,0,2,2
255,41.681142,-87.641645,0,2,2
257,41.8162639,-87.607065,0,2,2
258,41.9681365,-87.654829,0,2,2
259,41.7974995,-87.7528304,0,2,2
260,41.8836686,-87.6250434,0,2,2
261,41.895987,-87.6555939,0,2,2
262,41.7503287,-87.6537187,0,2,2
263,41.9103207,-87.6926311,0,2,2
264,41.7141036,-87.5903737,0,2,2
266,42.0193531,-87.6718115,0,2,2
267,41.895745,-87.668496,0,2,2
269,41.844634,-87.723828,0,2,2
271,41.8230779,-87.6754885,0,2,2
272,41.7531082,-87.6052442,0,2,2
275,41.920236,-87.7609555,0,2,2
285,41.779397,-87.645529,0,2,2
286,41.8096104,-87.5994991,0,2,2
287,41.864058,-87.648208,0,2,2
288,41.8628797,-87.6226729,0,2,2
290,41.7680281,-87.5744957,0,2,2
291,41.8412923,-87.6590399,0,2,2
292,41.8854815,-87.7553462,0,2,2
293,41.8312243,-87.6106167,0,2,2
294,41.7563478,-87.635009,0,2,2
295,41.9623528,-87.6609895,0,2,2
296,41.882258,-87.741359,0,2,2
297,41.9672462,-87.674108,0,2,2
300,41.7693978,-87.6372633,0,2,2
301,41.7435182,-87.6001448,0,2,2
302,41.9633759,-87.651872,0,2,2
305,41.779452,-87.647441,0,2,2
306,41.965072,-87.6535169,0,2,2
307,41.7232595,-87.6626443,0,2,2
308,41.713539,-87.642583,0,2,2
309,41.8874852,-87.709805,0,2,2
310,41.8835551,-87.6791072,0,2,2
311,41.822958,-87.601821,0,2,2
312,41.8170701,-87.6005152,0,2,2
313,41.910547,-87.696534,0,2,2
314,41.897207,-87.623225,0,2,2
316,41.9488772,-87.6498011,0,2,2
317,41.7587029,-87.569185,0,2,2
318,41.9078093,-87.6645798,0,2,2
319,41.996635,-87.699945,0,2,2
320,41.8256226,-87.6246491,0,2,2
321,41.8256232,-87.6246493,0,2,2
