SCHOOL_ID,Y,X
609676,41.84022557,-87.61763744
609678,41.87306592,-87.62767532
609679,41.9200594,-87.76104832
609680,41.90157517,-87.63538477
609682,41.80288138,-87.66227785
609691,41.91167369,-87.73523756
609692,41.74578123,-87.63541037
609693,41.8899772,-87.70733231
609694,41.79146391,-87.72447046
609695,41.97506726,-87.67948422
609698,41.74937561,-87.72109745
609702,41.8769423,-87.68197316
609704,41.84855988,-87.70870563
609705,41.68995073,-87.63757205
609707,41.7697138,-87.63715272
609709,41.79101284,-87.68895394
609710,41.71837235,-87.62062344
609711,41.77512408,-87.6690893
609712,41.75374796,-87.60172727
609713,41.78225693,-87.58661501
609715,41.81872906,-87.69463866
609716,41.9279184,-87.73599882
609718,41.78996125,-87.78083976
609719,41.95476407,-87.66895269
609720,41.94664457,-87.69101263
609722,41.87093896,-87.69989559
609723,41.87844409,-87.70805007
609724,41.98758868,-87.7024964
609725,41.69203501,-87.66565755
609726,41.69276253,-87.61635261
609727,41.82387997,-87.61979635
609728,41.96482788,-87.71481862
609729,41.94636454,-87.73561211
609730,41.98902854,-87.66713619
609732,41.93563359,-87.78351523
609733,42.00268756,-87.66919215
609734,41.98296099,-87.79154725
609735,41.80751007,-87.64296648
609736,41.80207723,-87.61193073
609737,41.97318505,-87.71338625
609738,41.91826831,-87.64600936
609739,41.68813694,-87.5375703
609740,41.89899471,-87.66748287
609741,41.78052639,-87.71801374
609744,41.98297252,-87.72238622
609745,41.75985243,-87.67594677
609746,41.80377212,-87.59042089
609748,41.84253335,-87.69526102
609749,41.98131528,-87.7087078
609750,41.86436548,-87.66872223
609751,41.81367545,-87.60387386
609753,41.69122074,-87.71776967
609754,41.83055498,-87.61921554
609755,41.87860253,-87.66423334
609756,41.80306021,-87.72204165
609759,41.90262579,-87.68690615
609760,41.65628995,-87.59062038
609761,41.70665962,-87.60121588
609762,41.70585894,-87.65374921
609764,41.8526666,-87.66373245
609766,41.9603638,-87.76466317
609768,41.79355347,-87.64124411
609769,41.84967542,-87.62531482
609772,41.6987388,-87.53297604
609773,41.9341263,-87.65622867
609777,41.83385391,-87.65065316
609779,42.01014998,-87.68444183
609780,41.91604463,-87.72174232
609781,41.80211261,-87.62578339
609782,41.94506223,-87.68104105
609783,41.86783229,-87.68041756
609786,41.74824699,-87.59165381
609788,41.70513101,-87.65807422
609789,41.93251058,-87.73938835
609790,41.75419385,-87.67092713
