SCHOOL_ID,Y,X,Altitude,dx,dy
400139,41.74628657,-87.57849167,0,2,2
400141,41.96529482,-87.65923929,0,2,2
400142,41.87631673,-87.6741384,0,2,2
400143,41.89080312,-87.7020528,0,2,2
609708,41.93979677,-87.75416654,0,2,2
400144,41.90224003,-87.74881029,0,2,2
400145,41.83207206,-87.62678147,0,2,2
400146,41.89181614,-87.74661384,0,2,2
400147,41.69195334,-87.65424794,0,2,2
400148,41.84544602,-87.68406494,0,2,2
400149,41.80176225,-87.71102498,0,2,2
400150,41.73013139,-87.60697991,0,2,2
400151,41.88741029,-87.70139735,0,2,2
400153,41.81310945,-87.69323838,0,2,2
400156,41.70666686,-87.60257332,0,2,2
400157,41.73462237,-87.55620144,0,2,2
400159,41.92218116,-87.75752153,0,2,2
400161,41.67931844,-87.61796787,0,2,2
400162,41.93898843,-87.74112863,0,2,2
400163,41.79355627,-87.63996733,0,2,2
400164,41.84595667,-87.68590261,0,2,2
400165,41.8874127,-87.7027039,0,2,2
400167,41.79520095,-87.68396339,0,2,2
400169,41.92563027,-87.76980777,0,2,2
400170,41.88215248,-87.62774253,0,2,2
400171,41.69577858,-87.65355219,0,2,2
400173,41.80822579,-87.70264475,0,2,2
400175,41.75974864,-87.55648708,0,2,2
400176,41.76592892,-87.69073009,0,2,2
400177,41.86117419,-87.70928683,0,2,2
609674,41.73717393,-87.57326752,0,2,2
609676,41.84022557,-87.61763744,0,2,2
609678,41.87306592,-87.62767532,0,2,2
609679,41.9200594,-87.76104832,0,2,2
609680,41.90157517,-87.63538477,0,2,2
609682,41.80288138,-87.66227785,0,2,2
609691,41.91167369,-87.73523756,0,2,2
609692,41.74578123,-87.63541037,0,2,2
609693,41.8899772,-87.70733231,0,2,2
609694,41.79146391,-87.72447046,0,2,2
609695,41.97506726,-87.67948422,0,2,2
609698,41.74937561,-87.72109745,0,2,2
609702,41.8769423,-87.68197316,0,2,2
609704,41.84855988,-87.70870563,0,2,2
609705,41.68995073,-87.63757205,0,2,2
